division,idno,subjects,name,degree
First ,01HY018201,HISTORY                                                                                                                                               ,Ms. Dheera Khandelwal,M.PHIL                                            
First ,01HY018202,MATHEMATICS                                                                                                                                           ,Shri Sanjeev Kaushal,B.A. (Hons)
First ,01HY018202,PUBLIC ADMN                                                                                                                                           ,Shri Sanjeev Kaushal,P.G.
First ,01HY018202,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Sanjeev Kaushal,GRADUATE                                          
First ,01HY018300,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Devender Singh,GRADUATE                                          
First ,01HY018300,MANAGEMENT                                                                                                                                            ,Shri Devender Singh,MBA                                               
First ,01HY018400,HISTORY                                                                                                                                               ,Shri Amit Jha,P.G.
First ,01HY018400,HISTORY                                                                                                                                               ,Shri Amit Jha,GRADUATE                                          
First ,01HY018400,PUBLIC POLICY                                                                                                                                         ,Shri Amit Jha,"P.G.,U/PRINCETION USA "
First ,01HY018500,COMMERCE                                                                                                                                              ,Shri Tirlok Chand Gupta,GRADUATE                                          
Second ,01HY018500,LAW                                                                                                                                                   ,Shri Tirlok Chand Gupta,GRADUATE                                          
First ,01HY018500,COMPANY LAW                                                                                                                                           ,Shri Tirlok Chand Gupta,COMPANY SECRETARY                                 
First ,01HY018500,COMMERCIAL LAW                                    TAXATION                                          ACCOUNTANCY                                       ,Shri Tirlok Chand Gupta,CHARTERED ACCTT.                                  
First ,01HY018500,ACCOUNTANCY                                       COMMERCIAL LAW                                                                                      ,Shri Tirlok Chand Gupta,COST ACCOUNTANT                                   
First ,01HY018600,ECONOMICS                                                                                                                                             ,Ms. Jyoti Arora,P.G.
First ,01HY018600,ECONOMICS                                                                                                                                             ,Ms. Jyoti Arora,GRADUATE                                          
First ,01HY018700,CIVIL ENGG                                                                                                                                            ,Shri Siddhi Nath Roy,GRADUATE                                          
First ,01HY018701,HISTORY                                           POLITICAL SC.                                     PUBLIC ADMN                                       ,Shri Rajiv Arora,GRADUATE                                          
Ordinary ,01HY018701,PUBLIC ADMN                                                                                                                                           ,Shri Rajiv Arora,P.G.
First ,01HY018800,MEDICINE                                          SURGERY                                                                                             ,Dr. Avtar Singh,MBBS                                              
 ,01HY018800,ECONOMICS                                                                                                                                             ,Dr. Avtar Singh,P.G.
First ,01HY018900,MECH.ENGG.                                                                                                                                            ,Shri Anil Kumar,"B TECH                                            ,IIT Delhi "
First ,01HY018900,INDL ENGG.                                                                                                                                            ,Shri Anil Kumar,"M TECH                                            ,IIT DELHI "
 ,01HY018900,ECONOMICS                                                                                                                                             ,Shri Anil Kumar,"MA,Punjab "
First ,01HY018900,LAW                                                                                                                                                   ,Shri Anil Kumar,"LL.B.                                             ,Punjab "
First with Distinction,01HY019000,Utility Regulation                                                                                                    ,Shri Tarun Bajaj,"M.Sc.,LONDON SCHOOL ECO & POL.SCI "
First ,01HY019000,COMMERCE                                          ECONOMICS                                         MATHEMATICS                                       ,Shri Tarun Bajaj,"B.Com.(Hons),SRI RAM COLLEGE OF COMMERCE DELHI"
First ,01HY019000,FINANCE                                           MARKETING                                         ECONOMICS                                         ,Shri Tarun Bajaj,"MBA                                               ,INDIAN INSTT OF MGT AHMEDABAD Amedabad "
First ,01HY019000,FINANCE                                           ECONOMICS                                                                                           ,Shri Tarun Bajaj,"Chartered Financial Analyst ,CHARTERED FINL ANALYSTS OF INDIA "
First ,01HY019200,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Rajesh Kumar Khullar,GRADUATE                                          
First ,01HY019200,PHYSICS                                                                                                                                               ,Shri Rajesh Kumar Khullar,P.G.
First ,01HY019200,PUBLIC POLICY                                     INTNL ECONOMICS                                                                                     ,Shri Rajesh Kumar Khullar,P.G.
First ,01HY019500,MECH.ENGG.                                                                                                                                            ,Dr. Vivek Joshi,"B E                                               ,U/ROORKEE "
First ,01HY019500,INTRNL BUSINESS                                                                                                                                       ,Dr. Vivek Joshi,"PG DIPLOMA                                        ,IIFT NEW DELHI "
First ,01HY019500,INTNL ECONOMICS                                                                                                                                       ,Dr. Vivek Joshi,"MA,Graduate Instt. University of Geneva "
First ,01HY019500,INTNL STUDIES                                     INTNL ECONOMICS                                                                                     ,Dr. Vivek Joshi,"Ph.D,The Graduate Inst. of Intnl. & Dev. Studies University of Geneva Geneva"
First ,01HY019300,ELECTRICAL ENGGELECTRONICS ENGG                                                                                    ,Shri T V S N Prasad,"B TECH                                            ,Jawahar Lal Nehru Techonology University Andhra Pradesh"
First ,01HY019300,ECONOMICS                                         ECONOMICS                                                                                           ,Shri T V S N Prasad,"M.P.A.,Harvard University "
First ,01HY019300,Public Mgmt & PolicyECONOMICS                                                                                           ,Shri T V S N Prasad,"PG DIPLOMA                                        ,Harvard University "
Ordinary ,01HY019800,ANIMAL HUSBY                                                                                                                                          ,Shri Mahavir Singh,GRADUATE                                          
First ,01HY019700,MATHEMATICS                                       ECONOMICS                                         STATISTICS                                        ,Shri Arun Kumar,GRADUATE                                          
First ,01HY019900,MECH.ENGG.                                                                                                                                            ,Shri Ankur Gupta,GRADUATE                                          
First ,01HY019900,BUSINESS ADMN.                                                                                                                                        ,Shri Ankur Gupta,P.G.
Ordinary ,01HY020000,MECH.ENGG.                                                                                                                                            ,Shri Anurag Rastogi,GRADUATE                                          
First ,01HY020100,CHEMICAL ENGG                                                                                                                                         ,Shri Anand Mohan Sharan,GRADUATE                                          
First ,01HY020200,BOTANY                                            ZOOLOGY                                           CHEMISTRY                                         ,Shri Raja Sekhar Vundru,GRADUATE                                          
First ,01HY020200,SCIENCE                                                                                                                                               ,Shri Raja Sekhar Vundru,P.G.
 ,01HY020200,LAW                                                                                                                                                   ,Shri Raja Sekhar Vundru,"Ph.D,National Law School of India University Bangalore"
First ,01HY020201,BUSINESS ADMN.                                                                                                                                        ,Shri Sudhir Rajpal,P.G.
First ,01HY020201,ECONOMICS                                                                                                                                             ,Shri Sudhir Rajpal,GRADUATE                                          
First ,01HY020300,ECONOMICS                                         MATHEMATICS                                       STATISTICS                                        ,Ms. Sumita Misra Singh,GRADUATE                                          
First ,01HY020300,ECONOMICS                                                                                                                                             ,Ms. Sumita Misra Singh,P.G.
First ,01HY020400,ENGLISH LIT                                                                                                                                           ,Shri Anil Malik,P.G.
First ,01HY020500,ELECTRONICS                                       ELECTRICAL ENGG                                                  ,Shri Vineet Garg,GRADUATE                                          
First ,01HY020601,POLITICAL SC.                                                                                                                                         ,Dr. Abhilaksh Likhi,"M.PHIL                                            ,Punjab University Chandigarh"
First ,01HY020601,POLITICAL SC.                                                                                                                                         ,Dr. Abhilaksh Likhi,"P.G.,Punjab University Chandigarh"
First ,01HY020601,N.A.                                                                                                                                                  ,Dr. Abhilaksh Likhi,"NOT AVAILABLE                                     ,Hubert H. Humphery Fellow, Fulbright Exchange Programme, College of Communication BOSTON University BOSTON"
 ,01HY020601,DEVELOPMENT                                       COMMUNICATION                                                                                       ,Dr. Abhilaksh Likhi,"Ph.D,Jamia Millia Islamia Univ. Jamia Nagar,New Delhi"
 ,01HY020700,N.A.                                                                                                                                                  ,Shri Sandeep Garg,M TECH                                            
 ,01HY020700,TECHNOLOGY                                                                                                                                            ,Shri Sandeep Garg,M.E.                                              
First ,01HY020600,COMPUTER SC                                       ENGINEERIING                                                                                        ,Dr. Ashok Khemka,B TECH                                            
First ,01HY020600,COMPUTER SC                                                                                                                                           ,Dr. Ashok Khemka,Ph.D
First ,01HY020600,BUSINESS ADMN.                                    FINANCE                                                                                             ,Dr. Ashok Khemka,MBA                                               
First ,01HY020600,ECONOMICS                                                                                                                                             ,Dr. Ashok Khemka,"MA,IGNOU "
First ,01HY020800,CHEMICAL ENGG                                                                                                                                         ,Shri Apoorva Kumar Singh,GRADUATE                                          
First ,01HY020900,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Shrikant Walgad,GRADUATE                                          
First ,01HY021100,INDL.MGT                                                                                                                                              ,Shri Arun Kumar Gupta,M TECH                                            
Ordinary ,01HY021100,MECH.ENGG.                                                                                                                                            ,Shri Arun Kumar Gupta,GRADUATE                                          
Second ,01HY021000,MEDICINE                                          SURGERY                                                                                             ,Ms. G Anupama,GRADUATE                                          
Second ,01HY021113,ENGLISH                                                                                                                                               ,Dr. D P S Nagal,P.G.
First with Distinction,01HY021113,SOCIAL SCIENCES                                                                                                                                       ,Dr. D P S Nagal,"M.PHIL                                            ,punjab "
First ,01HY021301,PUBLIC POLICY                                     MANAGEMENT                                                                                          ,Shri V Umashankar,"PG DIPLOMA                                        ,Indian Institute of Management Bangalore"
 ,01HY021301,MECH.ENGG.                                                                                                                                            ,Shri V Umashankar,"B TECH                                            ,IIT Bombay "
 ,01HY021200,PUBLIC POLICY & MGMT                                                                                                    ,Ms. Deepti Umashankar,"PG DIPLOMA                                        ,Indian Institute of Management Bangalore"
First ,01HY021200,POLITICAL SC.                                                                                                                                         ,Ms. Deepti Umashankar,"B.A. (Hons),Punjab University "
First ,01HY021200,PUBLIC ADMN                                                                                                                                           ,Ms. Deepti Umashankar,"MA,Punjab Universitry "
Second ,01HY021402,POLITICAL SC.                                                                                                                                         ,Ms. Neerja,P.G.
First ,01HY021401,SOCIOLOGY                                                                                                                                             ,Ms. Sukriti Likhi,"P.G.,Delhi School of Economics Delhi "
First ,01HY021401,ECONOMICS                                                                                                                                             ,Ms. Sukriti Likhi,"B.A. (Hons),Lady Sri Ram College Delhi University "
 ,01HY021401,PUBLIC POLICY                                     ECONOMICS                                                                                           ,Ms. Sukriti Likhi,"M.P.A.,JOHN F. KENNEDY SCHOOL U/HARVARD "
Second ,01HY021411,LAW                                                                                                                                                   ,Shri Ashok Kumar Yadav,LL.B.                                             
Ordinary ,01HY021417,N.A.                                                                                                                                                  ,Shri Suresh Kumar Goyal,GRADUATE                                          
First ,01HY021600,MANAGEMENT                                        BUSINESS ADMN.                                                                                      ,Shri Anurag Agarwal,P.G.
Second ,01HY021700,ENGLISH                                                                                                                                               ,Shri Vijayendra Kumar,GRADUATE                                          
Second ,01HY021700,HISTORY                                                                                                                                               ,Shri Vijayendra Kumar,P.G.
Second ,01HY021811,LAW                                                                                                                                                   ,Shri R S Doon,LL.B.                                             
First ,01HY021800,BUSINESS ADMN.                                                                                                                                        ,Shri D Suresh,MBA                                               
First ,01HY021800,HISTORY                                           POLITICAL SC.                                     PHYSICAL CHEM                                     ,Shri D Suresh,GRADUATE                                          
First ,01HY021812,ECONOMICS                                                                                                                                             ,Dr. M S Seharawat,GRADUATE                                          
 ,01HY021812,ENGLISH                                           ENGLISH                                                                                             ,Dr. M S Seharawat,MA
 ,01HY021812,ENGLISH                                                                                                                                               ,Dr. M S Seharawat,M.PHIL                                            
First ,01HY021814,ENGLISH                                                                                                                                               ,Dr.(Ms.) Suprabha Dahiya,"B.A. (Hons),GCW Chandigarh "
First ,01HY021814,HISTORY                                                                                                                                               ,Dr.(Ms.) Suprabha Dahiya,"MA,Punjab Chandigarh"
 ,01HY021814,RURAL DEV                                                                                                                                             ,Dr.(Ms.) Suprabha Dahiya,"POST DOCTORATE                                    ,MDU, Rotak "
Ordinary ,01HY021815,LAW                                                                                                                                                   ,Shri Chander Parkash,P.G.
Ordinary ,01HY021816,N.A.                                                                                                                                                  ,Shri Chhajju Ram Rana,GRADUATE                                          
Ordinary ,01HY021817,CHEMISTRY                                                                                                                                             ,Shri Raj Bir Singh,P.G.
First ,01HY021818,LAW                                                                                                                                                   ,Shri Subash Chandra,GRADUATE                                          
Pass,01HY022000,CHEMICAL ENGG                                                                                                                                         ,Shri Rakesh Gupta,B TECH                                            
First ,01HY021900,ELECTRICAL ENGG                                                                                                    ,Shri Shyamal Misra,B TECH                                            
Grade 'B',01HY021900,INTERNATIONAL DEV                                                                                                                                     ,Shri Shyamal Misra,"M.P.A.,Kennedy Sch of Govt. Harvard University Massachusetts"
Ordinary ,01HY021911,N.A.                                                                                                                                                  ,Ms. Neelam P Kasni,GRADUATE                                          
Second ,01HY022100,HISTORY                                                                                                                                               ,Shri Brijendra Singh,GRADUATE                                          
First ,01HY022100,MODERN IND.HIST                                                                                                                                       ,Shri Brijendra Singh,P.G.
First ,01HY022500,COMPUTER SC                                       ENGINEERIING                                                                                        ,Shri Nitin Kumar Yadav,"B TECH                                            ,IIT, Delhi "
First ,01HY022500,BUSINESS ADMN.                                                                                                                                        ,Shri Nitin Kumar Yadav,"MBA                                               ,DLP(IMT Ghaziabad) Vidyasagar University Midnapore,W.Bengal"
Ordinary ,01HY022200,COMPUTER SC                                                                                                                                           ,Shri Rajeev Ranjan,B TECH                                            
First ,01HY022600,CHEMISTRY                                                                                                                                             ,Shri Pankaj Aggarwal,GRADUATE                                          
First ,01HY022600,ORGANIC CHEMISTRY                                                                                                                                     ,Shri Pankaj Aggarwal,P.G.
First ,01HY022700,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Vikas Gupta,B E                                               
Second ,01HY022800,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Pankaj Yadav,GRADUATE                                          
Second ,01HY022800,HISTORY                                                                                                                                               ,Shri Pankaj Yadav,P.G.
Pass,01HY022800,MASS COMMN                                                                                                                                            ,Shri Pankaj Yadav,"P.G.,Guru Jambheshwar Univ "
Second ,01HY022900,ELECTRICAL ENGG                                                                                                    ,Shri Vijay Dahiya,B TECH                                            
Second ,01HY022901,ECONOMICS                                                                                                                                             ,Smt. Amneet P Kumar,GRADUATE                                          
First ,01HY022901,HISTORY                                                                                                                                               ,Smt. Amneet P Kumar,P.G.
 ,01HY023000,AGRICULTURE                                                                                                                                           ,Shri Satyaprakash T L,GRADUATE                                          
 ,01HY023000,PLANT BREEDING                                                                                                                                        ,Shri Satyaprakash T L,P.G.
First ,01HY023100,AGRICULTURE                                                                                                                                           ,Shri Mohammed Shayin,GRADUATE                                          
Second ,01HY023100,MANAGEMENT                                                                                                                                            ,Shri Mohammed Shayin,MBA                                               
First ,01HY023200,MEDICINE                                          SURGERY                                                                                             ,Dr. Amit Kumar Agrawal,"MBBS                                              ,RAJASTHAN "
Second ,01HY023300,ELECTRICAL ENGG                                                                                                    ,Shri Joshi Ajit Balaji,"B E                                               ,MUMBAI "
First ,01HY023500,ELECTRONICS                                       ELECTRICAL ENGG                                                  ,Shri C G Rajini Kaanthan,"B E                                               ,MADURAI KAMARAJ "
First ,01HY023400,ECONOMICS                                                                                                                                             ,Ms. Ashima Brar,"B.A. (Hons),DELHI "
First ,01HY023400,ECONOMICS                                                                                                                                             ,Ms. Ashima Brar,"MA,DELHI SCHOOL OF ECO DELHI "
First ,01HY023600,ELECTRICAL ENGG                                                                                                    ,Shri Phool Chand Meena,"B E                                               ,D.C.E.,DELHI "
First ,01HY023601,ECONOMICS                                         POLITICAL SC.                                     PUBLIC ADMN                                       ,Shri A Sreenivas,"BA,OSMANIA "
First ,01HY023601,PUBLIC ADMN                                                                                                                                           ,Shri A Sreenivas,"MA,OSMANIA "
Second ,01HY023602,ECONOMICS                                                                                                                                             ,Dr. Shekhar Vidyarthi,"B.A. (Hons),DELHI "
Second ,01HY023602,ECONOMICS                                                                                                                                             ,Dr. Shekhar Vidyarthi,"MA,JNU,N.DELHI "
Second ,01HY023602,ECONOMICS                                                                                                                                             ,Dr. Shekhar Vidyarthi,"M.PHIL                                            ,J.N.U.,N.D. "
First ,01HY023701,ENGLISH                                           SOCIOLOGY                                         PSYCHOLOGY                                        ,Shri Mandip Singh Brar,"BA,Punjab Univ. Chandigarh"
First ,01HY023701,LAW                                                                                                                                                   ,Shri Mandip Singh Brar,"LL.B.                                             ,Punjab Univ. Chandigarh"
First ,01HY023701,LAW                                                                                                                                                   ,Shri Mandip Singh Brar,"LLM                                               ,Punjab Univ. Chandigarh"
 ,01HY023700,MEDICINE                                          SURGERY                                                                                             ,Dr. Saket Kumar,"MBBS                                              ,Patna University Patna"
 ,01HY023700,PAEDIATRICS                                                                                                                                           ,Dr. Saket Kumar,"M.D.,C.S.Maharaj Univ. Lucknow"
First ,01HY023800,ENGLISH                                           ENGLISH                                                                                             ,Ms. A. Mona Sreenivas,"B.A. (Hons),L S R College Delhi "
First ,01HY023800,ENGLISH                                                                                                                                               ,Ms. A. Mona Sreenivas,"MA,Delhi University "
 ,01HY023800,ENGLISH LIT                                                                                                                                           ,Ms. A. Mona Sreenivas,"M.PHIL                                            ,Delhi University "
 ,01HY023900,                                                                                                                                                      ,Dr. J Ganesan,"B.D.S.,Medial Univesity Chennai"
First ,01HY024000,ELECTRICAL ENGG                                                                                                    ,Shri Ashok Kumar Meena,"B TECH                                            ,IIT, Delhi New Delhi"
First ,01HY024100,PHARMACY                                                                                                                                              ,Shri Atul Kumar,"MBE,Delhi niversity "
First ,01HY024200,CHEMICAL ENGG                                                                                                                                         ,Shri K. M. Pandurang,"B E                                               ,B.A.Marathwada U/o "
 ,01HY024200,COMPUTER SYSTEM                                                                                                                                       ,Shri K. M. Pandurang,"DIPLOMA                                           ,ACTS, Pune "
First ,01HY024300,SCIENCE                                                                                                                                               ,Shri Dusmanta Kumar Behera,"B.Sc.,Utkal University Bhubaneswar"
First ,01HY024300,PHYSICS                                                                                                                                               ,Shri Dusmanta Kumar Behera,"M.Sc.,Utkal University Bhubaneswar"
 ,01HY024400,MEDICINE                                          SURGERY                                                                                             ,Dr. Chander Shekhar,"MBBS                                              ,Pt. BDS PGIMS MD University Rohtak"
First ,01HY024500,ANIMAL HUSBY                                      VETERINARY SC.                                                                                      ,Dr. Anshaj Singh,"B.V.SC & A.H                                      ,Madras Vet College Tanuvas University Chennai"
First ,01HY024500,LIVESTOCK PRODUCTIONMANAGEMENT                                                                                          ,Dr. Anshaj Singh,"M.V.SC.                                           ,N.D.R.I. N.D.R.I University Karnal"
Second ,01HY024600,ELECTRONICS ENGG                                  COMMN.ENGG                                                                                          ,Shri Rajiv Rattan,"B E                                               ,T.I.E.T. Thapar University "
Pass,01HY024601,ELECTRICAL ENGG                                                                                                    ,Shri Nikhil Gajraj,"B TECH                                            ,IIT IIT Delhi Delhi"
Pass,01HY024601,INFO TECHCOMMUNICATION                                                                                       ,Shri Nikhil Gajraj,"M TECH                                            ,IIT Delhi IIT Delhi "
Second ,01HY108G01,SURGERY                                           GYNAECOLOGY                                       PAEDIATRICS                                       ,Dr. Yash Garg,"MBBS                                              ,MAM College Delhi University Delhi"
First ,01HY108G02,CHEMICAL ENGG                                                                                                                                         ,Shri Pankaj,"B TECH                                            ,IIT Roorkee Roorkee"
First ,01HY108O04,POLITICAL SC.                                     HISTORY                                                                                             ,Shri Mani Ram Sharma,"B.A. (Hons),Raj. Mahavidyalaya,Alwar Raj. University Jaipur"
First ,01HY108O04,POLITICAL SC.                                                                                                                                         ,Shri Mani Ram Sharma,"MA,Rajasthan University Jaipur"
First ,01HY108S01,PSYCHOLOGY                                        ENGLISH                                           HISTORY                                           ,Ms. Sharandeep Kaur Brar,"B.A. (Hons),MCM DAV College Punjab University Punjab"
First ,01HY108S01,PSYCHOLOGY                                                                                                                                            ,Ms. Sharandeep Kaur Brar,"MA,Punjab University Punjab"
Second ,01HY109G01,MEDICINE                                          SURGERY                                           PAEDIATRICS                                       ,Dr.(Ms.) Garima Mittal,"MBBS                                              ,Govt. Medical College Calicut University "
First ,01HY109G02,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Prabhjot Singh,"B TECH                                            ,Guru Nanak Dev Engg. College Punjab Technical University Ludhiana"
Second ,01HY110G01,COMPUTER SC                                                                                                                                           ,Shri Amit Khatri,"B E                                               ,Delhi Col.of Engg. University of Delhi "
First ,01HY109G03,MATHEMATICS                                                                                                                                           ,Shri Rajnarayan Kaushik,"M TECH                                            ,IIT, Delhi Delhi"
First ,01HY110G02,ELECTRONICS                                       INSTRUMENTATION                                                                                     ,Shri Vinay Pratap Singh,"B TECH                                            ,BITS - Pilani "
First ,01HY110G03,MEDICINE                                          PAEDIATRICS                                       SURGERY                                           ,Shri Aditya Dahiya,"MBBS                                              ,AIIMS New Delhi"
First with Distinction,01HY110G04,MECH.ENGG.                                                                                                                                            ,Shri Vijaykumar Siddappa Bhavikatti,"B E                                               ,National Instt of Eng Visveswaray Tech. University Mysore"
 ,01HY111G01,GEOGRAPHY                                         GEOLOGY                                           CHEMISTRY                                         ,Shri Dhirendra Khadgata,"B.Sc.,Maharajas College Rajasthan Unveristy Rajasthan"
First ,01HY111G01,GEOGRAPHY                                                                                                                                             ,Shri Dhirendra Khadgata,"MA,JN University New Delhi"
First ,01HY111G01,GEOGRAPHY                                                                                                                                             ,Shri Dhirendra Khadgata,"M.PHIL                                            ,J N University New Delhi"
First ,01HY111G02,MEDICINE                                                                                                                                              ,Ms. Priyanka Soni,"MBBS                                              ,SMS Medical College Rajasthan University jaipur"
First ,01HY111G03,COMPUTER SC                                       PHYSICS                                           MATHEMATICS                                       ,Ms. Amna Tasneem,"B.Sc.,University of Lucknow Lucknow"
First ,01HY111G03,HUMAN RES MNGMT                                                                                                                                       ,Ms. Amna Tasneem,"P.G.,Management Development Institute Gurgaon"
 ,01HY111G04,MEDICINE                                          SURGERY                                                                                             ,Shri Shaleen,"MBBS                                              ,M D University Rohtak"
First ,01HY112G01,MEDICINE                                          SURGERY                                                                                             ,Ms. Kumari Sangeeta Tetarwal,"MBBS                                              ,Rajasthan University of Health Science udaipur"
 ,01HY112G02,                                                  CHEMICAL ENGG                                                                                       ,Shri Nishant Kumar Yadav,"B TECH                                            ,IIT Delhi IIT Delhi Delhi"
First ,01HY112G03,ELECTRONICS ENGG                                  COMMUNICATION                                                                                       ,Shri Ajay Kumar,"B TECH                                            ,DCE Delhi University "
First ,01HY112G03,FINANCE                                                                                                                                               ,Shri Ajay Kumar,"PG DIPLOMA                                        ,IIM Kozhikode IIM Kozhikode "
First ,01HY112G04,ELECTRONICS ENGG                                  COMMUNICATION                                                                                       ,Shri Pradeep Dahiya,"GRADUATE                                          ,Bhagwan Mahavir Institute of Eng and Technology Maharishi Dayanand  University Rohtak"
First ,01HY809006,ENGLISH                                           HINDI                                             ECONOMICS                                         ,Shri Chander Shekhar,"BA,Govt.Post Graduate College,Hisar Kurukshetra University "
First ,01HY809006,LAW                                                                                                                                                   ,Shri Chander Shekhar,"LL.B.                                             ,Panjab University Chandigarh"
Second ,01HY809006,JOURNALISM                                        MASS COMMN                                                                                          ,Shri Chander Shekhar,"PG DIPLOMA                                        ,IGNOU "
Second ,01HY809006,TOURISM                                                                                                                                               ,Shri Chander Shekhar,"DIPLOMA                                           ,IGNOU "
Second ,01HY809006,BUSINESS ADMN.                                                                                                                                        ,Shri Chander Shekhar,"MBA                                               ,IGNOU "
Second ,01HY809006,LAW                                                                                                                                                   ,Shri Chander Shekhar,"LLM                                               ,Kurukshetra University "
First ,01HY809006,POLICY ANALYSIS                                                                                                                                       ,Shri Chander Shekhar,"M.P.A.,Syracuse University "
Second ,01HY809006,Intellectual Property RightsLAW                                                                                                 ,Shri Chander Shekhar,"PG DIPLOMA                                        ,National Law School of India University Bangalore"
First ,01JH028700,PHYSICS                                           MATHEMATICS                                       STATISTICS                                        ,Shri Ram Sewak Sharma,GRADUATE                                          
First ,01JH028700,MATHEMATICS                                                                                                                                           ,Shri Ram Sewak Sharma,P.G.
Ordinary ,01JH028700,RUSSIAN                                                                                                                                               ,Shri Ram Sewak Sharma,CERTIFICATE                                       
First ,01JH030900,PHYSICS                                                                                                                                               ,Dr. Smita Chugh,"M.Sc.,IIT,DELHI. "
 ,01JH030900,Housing and EnvironmentRURAL DEV                                                                                           ,Dr. Smita Chugh,"Ph.D,IIT, Delhi Delhi"
Second ,01JH031000,ECONOMICS                                         ENGLISH                                           HISTORY                                           ,Shri Sajal Chakrabarty,GRADUATE                                          
