city,name,institute,cadre,duration_weeks,idno,training_name,year
Calcutta            ,Shri H M Cairae,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,1,01AM015000,Agriculture and Rural Development,1986-1987
Bhopal              ,Shri H M Cairae,M P Academy of Administration                                              ,Assam Meghalaya,4,01AM015000,Programme Implementation,1987-1988
Lucknow             ,Shri H M Cairae,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM015000,Agriculture and Rural Development,1988-1989
Hyderabad,Shri H M Cairae,Administrative Staff College of India,Assam Meghalaya,1,01AM015000,The Administrative Environment,1994-1995
,Shri Vinay Sheel Oberoi,ATIR,Assam Meghalaya,1,01AM015900,Policy Planning and Analysis,1985-1986
Hyderabad           ,Shri Vinay Sheel Oberoi,Institute of Public Enterprise                                             ,Assam Meghalaya,1,01AM015900,Mgmt. of State Enterprises Level I,1986-1987
Simla               ,Shri Vinay Sheel Oberoi,Himachal Pradesh Institute of Public Administration                        ,Assam Meghalaya,4,01AM015900,Programme Implementation,1987-1988
Hyderabad,Shri Vinay Sheel Oberoi,Administrative Staff College of India,Assam Meghalaya,1,01AM015900,International Trade,1988-1989
Mussoorie,Shri Vinay Sheel Oberoi,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM015900,Middle Level - 1978- 84 Batches,1994-1995
New Delhi,Shri Vinay Sheel Oberoi,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM015900,Infrastructure De-Regulation,2008-2009
Gurgaon,Shri B. K. Dev Varma,Management Development Institute,Assam Meghalaya,1,01AM016100,Mgt.Concepts and Decision Making Tech,1985-1986
Thiruvananthapuram  ,Shri B. K. Dev Varma,Institute of Management in Government                                      ,Assam Meghalaya,4,01AM016100,JUNIOR LEVEL 4 WEEKS,1986-1987
Mumbai,Shri B. K. Dev Varma,Tata Institute of Social Sciences (TISS),Assam Meghalaya,1,01AM016100,Social Welfare,1991-1992
Ahmedabad           ,Shri B. K. Dev Varma,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM016100,Public Policy Analysis,1995-1996
Mussoorie,Shri B. K. Dev Varma,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM016100,Senior Level - 1979-82 Batches,1999-2000
Bangalore,Shri B. K. Dev Varma,Indian Institute of Management,Assam Meghalaya,1,01AM016100,Negotiating Strategies and Public Private Partnership,2008-2009
,Shri Jitesh Khosla,PSIPA,Assam Meghalaya,1,01AM015700,"Motivation,Attitude & Beh.in Pub.Service",1985-1986
Hyderabad,Shri Jitesh Khosla,Administrative Staff College of India,Assam Meghalaya,1,01AM015700,"Awareness of Intl. Indian Eco.Envt.,HRD",1986-1987
,Shri Jitesh Khosla,MIDA,Assam Meghalaya,4,01AM015700,Programme Implementation,1987-1988
Ahmedabad           ,Shri Jitesh Khosla,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM015700,Industrial Policy Planning and Dev.,1988-1989
Bangalore,Shri Jitesh Khosla,Indian Institute of Management,Assam Meghalaya,1,01AM015700,Management Accounting,1989-1990
Bangalore,Shri Jitesh Khosla,Indian Institute of Management,Assam Meghalaya,1,01AM015700,Financial Management Basic,1994-1995
Mussoorie,Shri Jitesh Khosla,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM015700,Senior Level - 1979-82 Batches,1999-2000
Hyderabad           ,Shri Kapil Dev Tripathi,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM016600,Agricultural Development,1985-1986
Bangalore,Shri Kapil Dev Tripathi,Indian Institute of Management,Assam Meghalaya,1,01AM016600,Agriculture and Rural Development,1986-1987
Lucknow             ,Shri Kapil Dev Tripathi,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM016600,Hum.Res.Development incl.Perf.Appraisal,1987-1988
Mysore,Shri Kapil Dev Tripathi,Administrative Training Institute,Assam Meghalaya,4,01AM016600,JUNIOR LEVEL 4 WEEKS,1989-1990
New Delhi,Shri Kapil Dev Tripathi,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM016600,Re-struc. of India's economic implication,1994-1995
New Delhi,Shri Kapil Dev Tripathi,National Institute of Information Technology                               ,Assam Meghalaya,1,01AM016600,I Tá & E-Governance,2002-2003
,Shri Anup Kumar Thakur,ATIR,Assam Meghalaya,1,01AM015600,Policy Planning and Analysis,1985-1986
Bangalore,Shri Anup Kumar Thakur,Indian Institute of Management,Assam Meghalaya,1,01AM015600,Develop. Banking & Insttl. Credit,1986-1987
Simla               ,Shri Anup Kumar Thakur,Himachal Pradesh Institute of Public Administration                        ,Assam Meghalaya,4,01AM015600,Programme Implementation,1987-1988
Hyderabad,Shri Anup Kumar Thakur,Administrative Staff College of India,Assam Meghalaya,1,01AM015600,Project Management Level-I,1990-1991
Hyderabad,Shri Anup Kumar Thakur,Administrative Staff College of India,Assam Meghalaya,1,01AM015600,Project Management Advanced,1992-1993
Mussoorie,Shri Anup Kumar Thakur,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM015600,Senior Level - 1979-82 Batches,1999-2000
Bangalore,Shri Anup Kumar Thakur,Indian Institute of Management,Assam Meghalaya,1,01AM015600,Negotiating Strategies and Public Private Partnership,2008-2009
Bhopal              ,Shri Bhaskar Mushahary,M P Academy of Administration                                              ,Assam Meghalaya,1,01AM016701,Admnv. Effectiveness /Prog.Implementation,1985-1986
New Delhi,Shri Bhaskar Mushahary,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM016701,Rural Energy Plg. & Technology,1986-1987
,Shri Bhaskar Mushahary,MIDA,Assam Meghalaya,4,01AM016701,Programme Implementation,1987-1988
New Delhi           ,Shri Bhaskar Mushahary,National Institute of Health and Family Welfare                            ,Assam Meghalaya,1,01AM016701,Health & Family Welfare,1988-1989
,Shri Bhaskar Mushahary,ISEC,Assam Meghalaya,1,01AM016701,Agriculture and Rural Development,1989-1990
Hyderabad           ,Shri Suresh Chandra Panda,Institute of Public Enterprise                                             ,Assam Meghalaya,1,01AM017100,Mgt.Concepts and Decision Making Tech,1985-1986
New Delhi           ,Shri Suresh Chandra Panda,National Informatics Centre                                                ,Assam Meghalaya,1,01AM017100,MIS & Computer Appl. in Govt Level-I,1987-1988
Nainital,Shri Suresh Chandra Panda,Uttarakhand  Academy of Administration,Assam Meghalaya,4,01AM017100,JUNIOR LEVEL 4 WEEKS,1988-1989
,Shri Suresh Chandra Panda,XIM,Assam Meghalaya,1,01AM017100,Labour Relations,1989-1990
Bangalore,Shri Suresh Chandra Panda,Indian Institute of Management,Assam Meghalaya,3,01AM017100,Middle Level Programme,1992-1993
Hyderabad,Shri Suresh Chandra Panda,Administrative Staff College of India,Assam Meghalaya,1,01AM017100,Project Management Basic,1994-1995
Mussoorie,Shri Suresh Chandra Panda,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM017100,Senior Level - 1978-81 Batches,1998-1999
Hyderabad,Shri Suresh Chandra Panda,Administrative Staff College of India,Assam Meghalaya,1,01AM017100,WTO and the New Trade Regime,2000-2001
Bangalore,Shri Suresh Chandra Panda,National Law School of India University,Assam Meghalaya,1,01AM017100,Administrative Law,2002-2003
Bangalore,Shri Suresh Chandra Panda,Indian Institute of Management,Assam Meghalaya,1,01AM017100,E-Governance: Opportunities and Challenges,2007-2008
Hyderabad           ,Shri Himangshu Sekhar Das,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM017800,Agriculture and Rural Development,1985-1986
,Shri Himangshu Sekhar Das,MIDA,Assam Meghalaya,1,01AM017800,Innovation in Government,1986-1987
,Shri Himangshu Sekhar Das,TCS,Assam Meghalaya,1,01AM017800,MIS & Computer Appl. in Govt Level-I,1987-1988
Guwahati            ,Shri Himangshu Sekhar Das,Assam Administrative Staff College                                         ,Assam Meghalaya,3,01AM017800,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Mussoorie,Shri Himangshu Sekhar Das,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,1,01AM017800,Ethical Issues in Today's  Administration,1999-2000
Mussoorie,Shri Himangshu Sekhar Das,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM017800,Senior Level-1982-85 Batches,2002-2003
,Shri Jai Priye Prakash,IEG,Assam Meghalaya,1,01AM017600,Policy options in a Planned Economy,1985-1986
,Shri Jai Priye Prakash,MIDA,Assam Meghalaya,1,01AM017600,Innovation in Government,1986-1987
New Delhi           ,Shri Jai Priye Prakash,National Informatics Centre                                                ,Assam Meghalaya,1,01AM017600,MIS & Computer Appl. in Govt Level-I,1987-1988
,Shri Jai Priye Prakash,ONGC,Assam Meghalaya,1,01AM017600,Energy And Environment,1988-1989
Jaipur              ,Shri Jai Priye Prakash,HCM Rajasthan State Institute of Public Administration                     ,Assam Meghalaya,4,01AM017600,JUNIOR LEVEL 4 WEEKS,1989-1990
Bangalore,Shri Jai Priye Prakash,Indian Institute of Management,Assam Meghalaya,1,01AM017600,Infrastructure Development & Financing,2000-2001
Panchgani,Shri Jai Priye Prakash,IC Centre  for Governance (ICCG),Assam Meghalaya,1,01AM017600,Ethical Leadership,2006-2007
Mysore,Shri Jai Priye Prakash,Administrative Training Institute,Assam Meghalaya,1,01AM017600,Natural Resource Management,2012-2013
Hyderabad           ,Shri Anoop Kumar Srivastava,Institute of Public Enterprise                                             ,Assam Meghalaya,1,01AM017000,Mgt.Concepts and Decision Making Tech,1985-1986
,Shri Anoop Kumar Srivastava,ATIR,Assam Meghalaya,1,01AM017000,Hum.Res.Development incl.Perf.Appraisal,1986-1987
New Delhi,Shri Anoop Kumar Srivastava,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM017000,International Trade,1987-1988
Nainital,Shri Anoop Kumar Srivastava,Uttarakhand  Academy of Administration,Assam Meghalaya,4,01AM017000,JUNIOR LEVEL 4 WEEKS,1988-1989
New Delhi           ,Shri Anoop Kumar Srivastava,National Informatics Centre                                                ,Assam Meghalaya,1,01AM017000,MIS & Computer Appl. in Govt. Level-II,1989-1990
Mussoorie,Shri Anoop Kumar Srivastava,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM017000,Middle Level - 1978- 84 Batches,1994-1995
New Delhi           ,Shri Anoop Kumar Srivastava,National Informatics Centre                                                ,Assam Meghalaya,1,01AM017000,Computer Application  - Advanced,1996-1997
Ahmedabad           ,Shri Anoop Kumar Srivastava,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM017000,Management of Information  Technology,1999-2000
Ahmedabad           ,Shri Anoop Kumar Srivastava,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM017000,Management of Information  Technology,1999-2000
New Delhi           ,Shri Anoop Kumar Srivastava,Institute of Defence Study & Analysis                                      ,Assam Meghalaya,1,01AM017000,India and the World,2004-2005
New Delhi           ,Shri Subhash Chandra Das,Indian Institute of Public Administration                                  ,Assam Meghalaya,1,01AM016800,Policy Planning and Analysis,1985-1986
Ahmedabad           ,Shri Subhash Chandra Das,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM016800,MIS & Computer Appl. in Govt Level-I,1986-1987
New Delhi,Shri Subhash Chandra Das,HUDCO,Assam Meghalaya,1,01AM016800,Urban Development,1987-1988
Jaipur              ,Shri Subhash Chandra Das,HCM Rajasthan State Institute of Public Administration                     ,Assam Meghalaya,4,01AM016800,JUNIOR LEVEL 4 WEEKS,1989-1990
Ahmedabad           ,Shri Subhash Chandra Das,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM016800,Financial Sector Reforms,1998-1999
Bangalore,Shri Subhash Chandra Das,Indian Institute of Management,Assam Meghalaya,2,01AM016800,Senior Level - 1980-83 Batches,2000-2001
Nainital,Shri Anoop Kumar Srivastava,Uttarakhand  Academy of Administration,Assam Meghalaya,1,01AM017000,Community Mobilisation and Participatory Management,2007-2008
Bangalore,Shri Anoop Kumar Srivastava,Indian Institute of Management,Assam Meghalaya,1,01AM017000,E-Governance: Opportunities & Challenges,2009-2010
Mysore,Shri Anoop Kumar Srivastava,Administrative Training Institute,Assam Meghalaya,1,01AM017000,Natural Resource Management,2010-2011
New Delhi           ,Shri Rajiv Yadav,Indian Institute of Public Administration                                  ,Assam Meghalaya,1,01AM017200,Policy Planning and Analysis,1985-1986
Hyderabad,Shri Rajiv Yadav,Administrative Staff College of India,Assam Meghalaya,1,01AM017200,"Awareness of Intl. Indian Eco.Envt.,HRD",1986-1987
New Delhi,Shri Rajiv Yadav,National Institute of Information Technology                               ,Assam Meghalaya,1,01AM017200,MIS & Computer Appl. in Govt Level-I,1987-1988
Hyderabad           ,Shri Rajiv Yadav,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM017200,Rural Energy Plg. & Technology,1989-1990
Guwahati            ,Shri Rajiv Yadav,Assam Administrative Staff College                                         ,Assam Meghalaya,3,01AM017200,JUNIOR GROUP 1980-83 BATCHES,1990-1991
New Delhi,Shri Rajiv Yadav,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM017200,Energy and  Developm ent,1993-1994
,Shri Rajiv Yadav,IMI,Assam Meghalaya,3,01AM017200,Middle Level - 1980- 86 Batches,1996-1997
New Delhi,Shri Rajiv Yadav,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM017200,Advanced course on WTO,2001-2002
New Delhi,Shri Rajiv Yadav,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM017200,World Trade Organisation and New Trade Regime,2007-2008
Hyderabad           ,Shri Kuljit Singh Kropha,Institute of Public Enterprise                                             ,Assam Meghalaya,1,01AM018000,Mgt.Concepts and Decision Making Tech,1985-1986
,Shri Kuljit Singh Kropha,NPC,Assam Meghalaya,1,01AM018000,Productivity in Government,1986-1987
New Delhi,Shri Kuljit Singh Kropha,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM018000,International Business Management,1987-1988
Hyderabad           ,Shri Kuljit Singh Kropha,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM018000,Agriculture and Rural Development,1989-1990
Ahmedabad           ,Shri Kuljit Singh Kropha,Sardar Patel Institute of Public Administration                            ,Assam Meghalaya,3,01AM018000,JUNIOR GROUP 1980-83 BATCHES,1990-1991
New Delhi,Shri Kuljit Singh Kropha,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM018000,Energy and  Developm ent,1993-1994
Mussoorie,Shri Kuljit Singh Kropha,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM018000,Middle Level - 1980- 86 Batches,1996-1997
"Jaipur
",Shri Kuljit Singh Kropha,Indian Institute of Health Management Research,Assam Meghalaya,1,01AM018000,"Health Policy, Planning &  Management",1999-2000
New Delhi,Shri Kuljit Singh Kropha,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM018000,Basic Course on WTO,2003-2004
New Delhi,Shri Kuljit Singh Kropha,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM018000,Infrastructure Deregulation,2004-2005
Panchgani,Shri Kuljit Singh Kropha,IC Centre  for Governance (ICCG),Assam Meghalaya,1,01AM018000,Ethics in Public Governance,2007-2008
Jaipur              ,Ms. T Y Das,HCM Rajasthan State Institute of Public Administration                     ,Assam Meghalaya,1,01AM018005,Public Enterprises Management,1985-1986
Hyderabad           ,Ms. T Y Das,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM018005,Agriculture and Rural Development,1986-1987
Calcutta            ,Ms. T Y Das,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,1,01AM018005,MIS & Computer Appl. in Govt Level-I,1987-1988
Guwahati            ,Ms. T Y Das,Assam Administrative Staff College                                         ,Assam Meghalaya,3,01AM018005,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Calcutta            ,Ms. T Y Das,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,1,01AM018005,Restructing Indias Economy  Implication,1993-1994
Mussoorie,Ms. T Y Das,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,1,01AM018005,Ethical Issues in Today's  Administration,1999-2000
Mussoorie,Ms. T Y Das,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM018005,Senior Level-1982-85 Batches,2002-2003
,Shri V B Pyarelal,MIDA,Assam Meghalaya,1,01AM018300,Anti Poverty Programmes,1987-1988
Bangalore,Shri V B Pyarelal,Indian Institute of Management,Assam Meghalaya,1,01AM018300,Financial Management Level - I,1989-1990
Mussoorie,Shri V B Pyarelal,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM018300,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Hyderabad           ,Shri V B Pyarelal,National Institute of Rural Development                                    ,Assam Meghalaya,3,01AM018300,Middle Level - 1979- 85 Batches,1995-1996
,Shri V B Pyarelal,NISTD,Assam Meghalaya,1,01AM018300,Science and Technology in Development,1997-1998
Mussoorie,Shri V B Pyarelal,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM018300,Senior Level-1982-85 Batches,2002-2003
Bangalore,Shri V B Pyarelal,National Law School of India University,Assam Meghalaya,1,01AM018300,Administrative Law,2005-2006
New Delhi           ,Shri Jatinder Bir Singh,National Informatics Centre                                                ,Assam Meghalaya,1,01AM018400,MIS & Computer Appl. in Govt Level-I,1987-1988
Ahmedabad           ,Shri Jatinder Bir Singh,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM018400,Agriculture and Rural Development,1988-1989
Bangalore,Shri Jatinder Bir Singh,Indian Institute of Management,Assam Meghalaya,1,01AM018400,Industrial Policy Planning and Dev.,1989-1990
,Shri Jatinder Bir Singh,MIDA,Assam Meghalaya,3,01AM018400,Junior Level 1982-19 85,1991-1992
Mussoorie,Shri Jatinder Bir Singh,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM018400,Middle Level - 1981- 87 Batches,1997-1998
Ahmedabad           ,Shri Jatinder Bir Singh,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM018400,Infrastructure Development & Financing,1999-2000
Ahmedabad           ,Shri Jatinder Bir Singh,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM018400,Infrastructure Development & Financing,1999-2000
Mussoorie,Shri Jatinder Bir Singh,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM018400,Senior Level - 1981 - 84 Batches,2001-2002
Bangalore,Shri Jatinder Bir Singh,National Law School of India University,Assam Meghalaya,1,01AM018400,Administrative Law,2002-2003
New Delhi,Shri Jatinder Bir Singh,National Institute of Information Technology                               ,Assam Meghalaya,1,01AM018400,GIS:Decision Tools for Public Policy,2005-2006
,Shri Ram Tirath Jindal,DU,Assam Meghalaya,1,01AM018500,Hum.Res.Development incl.Perf.Appraisal,1987-1988
,Shri Ram Tirath Jindal,CMC,Assam Meghalaya,1,01AM018500,MIS & Computer Appl. in Govt Level-I,1988-1989
,Shri Ram Tirath Jindal,NIUA,Assam Meghalaya,1,01AM018500,Urban Development,1989-1990
Jaipur              ,Shri Ram Tirath Jindal,HCM Rajasthan State Institute of Public Administration                     ,Assam Meghalaya,3,01AM018500,JUNIOR GROUP 1980-83 BATCHES,1990-1991
,Shri Kamal Kant Mittal,NIPFP,Assam Meghalaya,1,01AM018100,Public Finances Taxation etc.,1987-1988
New Delhi           ,Shri Kamal Kant Mittal,National Informatics Centre                                                ,Assam Meghalaya,1,01AM018100,MIS & Computer Appl. in Govt Level-I,1988-1989
New Delhi           ,Shri Kamal Kant Mittal,National Institute of Health and Family Welfare                            ,Assam Meghalaya,1,01AM018100,Health & Family Welfare,1989-1990
Mussoorie,Shri Kamal Kant Mittal,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM018100,Middle Level - 1978- 84 Batches,1994-1995
New Delhi,Shri Kamal Kant Mittal,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM018100,WTO & New Trade Regime,2009-2010
,Shri Jagdish Prasad Meena,SIET,Assam Meghalaya,1,01AM018700,Small Scale Industries,1987-1988
Hyderabad           ,Shri Jagdish Prasad Meena,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM018700,Agriculture and Rural Development,1989-1990
Calcutta            ,Shri Jagdish Prasad Meena,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,3,01AM018700,Middle Level - 1979- 85 Batches,1995-1996
"Jaipur
",Shri Jagdish Prasad Meena,Indian Institute of Health Management Research,Assam Meghalaya,1,01AM018700,"Health Policy, Planning & Management",1998-1999
New Delhi,Shri Jagdish Prasad Meena,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM018700,WTO & the New Trade Regime,2001-2002
Mussoorie,Shri Jagdish Prasad Meena,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,1,01AM018700,Ethical Issues in Administration,2009-2010
Hyderabad,Shri Vinod Kumar Pipersenia,Administrative Staff College of India,Assam Meghalaya,1,01AM016200,"Awareness of Intl. Indian Eco.Envt.,HRD",1986-1987
Nainital,Shri Vinod Kumar Pipersenia,Uttarakhand  Academy of Administration,Assam Meghalaya,4,01AM016200,Programme Implementation,1987-1988
,Shri Vinod Kumar Pipersenia,ONGC,Assam Meghalaya,1,01AM016200,Energy And Environment,1988-1989
,Shri Vinod Kumar Pipersenia,NIUA,Assam Meghalaya,1,01AM016200,Urban Development,1989-1990
Hyderabad           ,Shri Vinod Kumar Pipersenia,Sardar Vallabhbahi Patel National Police Academy                           ,Assam Meghalaya,1,01AM016200,The Administrative Environment,1991-1992
Mussoorie,Shri Vinod Kumar Pipersenia,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM016200,Middle Level - 1980- 86 Batches,1996-1997
New Delhi,Shri Vinod Kumar Pipersenia,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM016200,WTO and the New Trade Regime,1999-2000
Bangalore,Shri Vinod Kumar Pipersenia,Indian Institute of Management,Assam Meghalaya,2,01AM016200,Senior Level - 1980-83 Batches,2000-2001
,Shri Alok Kumar,NIBM,Assam Meghalaya,1,01AM018900,Develop. Banking & Insttl. Credit,1988-1989
,Shri Alok Kumar,CMC,Assam Meghalaya,1,01AM018900,MIS & Computer Appl. in Govt Level-I,1989-1990
Mysore,Shri Alok Kumar,Administrative Training Institute,Assam Meghalaya,3,01AM018900,Junior Level 1982-19 85,1991-1992
Gurgaon,Shri Alok Kumar,Management Development Institute,Assam Meghalaya,3,01AM018900,Middle Level - 1979- 85 Batches,1995-1996
Mussoorie,Shri Alok Kumar,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,1,01AM018900,Ethical Issues in Administration,2002-2003
Hyderabad,Shri Alok Kumar,Administrative Staff College of India,Assam Meghalaya,1,01AM018900,Public Private Partnership,2003-2004
,Shri Yeshi Tsering,CMC,Assam Meghalaya,1,01AM018800,MIS & Computer Appl. in Govt Level-I,1987-1988
New Delhi           ,Shri Yeshi Tsering,Indian Institute of Public Administration                                  ,Assam Meghalaya,1,01AM018800,Adm. Reforms in Govt.,1988-1989
Chennai             ,Shri Yeshi Tsering,Institute of Financial Management and Research                             ,Assam Meghalaya,1,01AM018800,Financial Management Level - I,1989-1990
Nainital,Shri Yeshi Tsering,Uttarakhand  Academy of Administration,Assam Meghalaya,3,01AM018800,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Mumbai,Shri Yeshi Tsering,Tata Institute of Social Sciences (TISS),Assam Meghalaya,1,01AM018800,Social Welfare,1995-1996
Hyderabad,Shri Yeshi Tsering,Administrative Staff College of India,Assam Meghalaya,1,01AM018800,Project Management- Basic,1996-1997
Mussoorie,Shri Yeshi Tsering,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,1,01AM018800,Co-operatives: Policy Environmemt and Management,1998-1999
New Delhi           ,Shri Yeshi Tsering,Human Settlement Management Institute                                      ,Assam Meghalaya,1,01AM018800,Issues In Urban Development Management,2001-2002
New Delhi,Shri Yeshi Tsering,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM018800,World Trade Organisation and New Trade Regime,2007-2008
New Delhi,Shri Arun Kumar,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM018600,Rural Energy Plg. & Technology,1987-1988
New Delhi           ,Shri Arun Kumar,National Informatics Centre                                                ,Assam Meghalaya,1,01AM018600,MIS & Computer Appl. in Govt Level-I,1988-1989
Anand,Shri Arun Kumar,Institute of Rural Management,Assam Meghalaya,1,01AM018600,Agriculture and Rural Development,1989-1990
Mussoorie,Shri Arun Kumar,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM018600,Middle Level - 1979- 85 Batches,1995-1996
New Delhi           ,Shri Arun Kumar,National Informatics Centre                                                ,Assam Meghalaya,1,01AM018600,MS Office 97 and Internet  Applications,1999-2000
Lucknow             ,Shri Ajay Kumar Bhalla,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM019100,Agriculture and Rural Development,1988-1989
Ahmedabad           ,Shri Ajay Kumar Bhalla,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM019100,Industrial Policy Planning and Dev.,1989-1990
Mussoorie,Shri Ajay Kumar Bhalla,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM019100,Junior Level - 1984- 87 Batches,1993-1994
Bangalore,Shri Ajay Kumar Bhalla,Indian Institute of Management,Assam Meghalaya,1,01AM019100,Financial Management Advanced,1995-1996
Nainital,Shri Ajay Kumar Bhalla,Uttarakhand  Academy of Administration,Assam Meghalaya,2,01AM019100,Middle Level - 1982-88 Batches,1998-1999
New Delhi,Shri Ajay Kumar Bhalla,Indian Institute of Foreign Trade,Assam Meghalaya,1,01AM019100,WTO & the New Trade Regime,2001-2002
New Delhi,Shri Ajay Kumar Bhalla,IILM Institute for Integrated Learning in Management,Assam Meghalaya,1,01AM019100,Project Formulation,2004-2005
New Delhi,Shri Ajay Kumar Bhalla,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM019100,Infrastructure De-Regulation,2008-2009
New Delhi,Shri Shyam Lal Mewara,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM019200,Rural Energy Plg. & Technology,1989-1990
Ahmedabad           ,Shri Shyam Lal Mewara,Sardar Patel Institute of Public Administration                            ,Assam Meghalaya,3,01AM019200,Junior Level 1982-19 85,1991-1992
Mussoorie,Shri Shyam Lal Mewara,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM019200,Middle Level - 1984-90 Batches,2000-2001
Ahmedabad           ,Shri Shyam Lal Mewara,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM019200,Infrastructure Development & Institutional Financing,2002-2003
Panchgani,Shri Shyam Lal Mewara,IC Centre  for Governance (ICCG),Assam Meghalaya,1,01AM019200,Ethics in Public Governance,2009-2010
Hyderabad           ,Shri Parmarsan S Thangkhiew,National Institute of Rural Development                                    ,Assam Meghalaya,1,01AM019600,Development Admn.,1988-1989
,Shri Parmarsan S Thangkhiew,ISEC,Assam Meghalaya,1,01AM019600,Agriculture and Rural Development,1989-1990
New Delhi           ,Shri Parmarsan S Thangkhiew,Indian Institute of Public Administration                                  ,Assam Meghalaya,3,01AM019600,Middle Level - 1978- 84 Batches,1994-1995
Calcutta            ,Shri Parmarsan S Thangkhiew,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,1,01AM019600,Management of Information Technology,1998-1999
Bangalore,Shri Parmarsan S Thangkhiew,Indian Institute of Management,Assam Meghalaya,1,01AM019600,Financial Management,2000-2001
Pune                ,Shri Parmarsan S Thangkhiew,Tata Management Training Centre                                            ,Assam Meghalaya,1,01AM019600,E-Governance & its Benefits,2003-2004
Bangalore,Shri Parmarsan S Thangkhiew,National Institute of Advanced Studies,Assam Meghalaya,1,01AM019600,Multidisciplinary Perspectives on Urban Development,2013-2014
Navi Mumbai,Shri Parmarsan S Thangkhiew,Indian Institute of Capital Markets,Assam Meghalaya,1,01AM019600,Financing Infrastructure Projects Through Capital Market,2014-2015
