ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
BH008800,Shri K Ramanujam,Indian Administrative Service,Bihar,0,Graduate,Statistics,First,Supremo
BH008800,Shri K Ramanujam,Indian Administrative Service,Bihar,2,P.G.,Commerce,Second,Supremo
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,0,Diploma,Sociology,First,Supremo
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,2,Graduate,Economics,Second,Supremo
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,4,P.G.,Economics,Second,Supremo
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,0,Graduate,Economics,First,Supremo
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,2,P.G.,Economics,First,Supremo
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,4,P.G.,Political Sc.,First,Supremo
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,0,Graduate,Chemistry,Third,Supremo
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,2,Graduate,Law,Second,Supremo
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,4,P.G.,Political Sc.,Second,Supremo
UP015300,Shri Prem Kumar,Indian Administrative Service,Uttar Pradesh,0,Graduate,Mathematics,First,Supremo
UP015300,Shri Prem Kumar,Indian Administrative Service,Uttar Pradesh,2,P.G.,Mathematics,First,Supremo
UP015400,Shri Svs Juneja,Indian Administrative Service,Uttar Pradesh,0,Graduate,History,Second,Supremo
UP015400,Shri Svs Juneja,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economics,Ordinary,Supremo
UP015600,Shri Anand Sarup,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Ordinary,Supremo
UP015600,Shri Anand Sarup,Indian Administrative Service,Uttar Pradesh,2,P.G.,English Lit,Ordinary,Supremo
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,0,Diploma,Intnl.affairs,Ordinary,Supremo
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,2,Graduate,Economics,Second,Supremo
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,4,Graduate,Law,First,Supremo
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,6,P.G.,Economics,Second,Supremo
WB007000,Shri Ss Varma,Indian Administrative Service,West Bengal,0,Graduate,Civil Engg,First,Supremo
WB007000,Shri Ss Varma,Indian Administrative Service,West Bengal,2,Graduate,Physics,Second,Supremo
HY002600,Shri Lc Gupta,Indian Administrative Service,Haryana,0,Graduate,Mathematics,Second,Supremo
HY002600,Shri Lc Gupta,Indian Administrative Service,Haryana,2,P.G.,English,Third,Supremo
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,0,Graduate,Geology,First,Supremo
