Subject,Count,Category
Hons Economics,7,Social Science and Liberal Arts
Econometrics,7,Social Science and Liberal Arts
Company Mgt.,7,"Governance, Law and Management"
Labour Welfare,7,"Governance, Law and Management"
Accounting and Auditing,7,Finance
Textile Engg.,7,"Engineering, Technology and Mathematics"
Civil & Criminal Law,7,"Governance, Law and Management"
Ecology,7,Others
System Analysis,7,"Governance, Law and Management"
Constl.law,6,"Governance, Law and Management"
Agri.Engg.,6,"Engineering, Technology and Mathematics"
Chinese,6,Languages and Fine Arts
Mass Commn,6,"Governance, Law and Management"
Indl.economics,6,Social Science and Liberal Arts
Political Eco,6,Social Science and Liberal Arts
Ayurvedic,6,Others
Medical&dental,6,Medical
Business Admn,6,"Governance, Law and Management"
Pharmacy,6,Others
Tourism,6,Others
Rur Social Dev,6,"Governance, Law and Management"
Energy Planning,5,"Governance, Law and Management"
Diplomacy,5,"Governance, Law and Management"
System Mgt,5,"Governance, Law and Management"
"Demography,",5,"Governance, Law and Management"
Business Law,5,"Governance, Law and Management"
Marathi,5,Languages and Fine Arts
Power Sys Engg,5,"Engineering, Technology and Mathematics"
Behav Science,5,Social Science and Liberal Arts
Telugu,5,Languages and Fine Arts
Mechanical engineering,5,"Engineering, Technology and Mathematics"
Persian,5,Languages and Fine Arts
Marketing Management,5,"Governance, Law and Management"
Economic Hons.,5,Social Science and Liberal Arts
Crimnology,5,Social Science and Liberal Arts
Building Sc,5,"Engineering, Technology and Mathematics"
Punjabi,5,Languages and Fine Arts
Business Finance,5,Finance
Local Self Govt,4,"Governance, Law and Management"
Indian History,4,Social Science and Liberal Arts
Management&system,4,"Governance, Law and Management"
Hons English,4,Languages and Fine Arts
Macro Eco Policy & Plg,4,Social Science and Liberal Arts
Urban Dev,4,"Governance, Law and Management"
Hons History,4,Social Science and Liberal Arts
App.Mathematics,4,"Engineering, Technology and Mathematics"
Defence & Strategic Studies,4,"Governance, Law and Management"
Intnl Economics,4,Social Science and Liberal Arts
Chem. Engg,4,"Engineering, Technology and Mathematics"
Entomology,4,Natural Sciences
Soil Science,4,Natural Sciences
Water R Dev,4,"Governance, Law and Management"
Administrative Laws and Other Laws,4,"Governance, Law and Management"
Nursing,4,Medical
Urdu,4,Languages and Fine Arts
Library Science,4,Social Science and Liberal Arts
Public Finance,4,Finance
Intel.property Law,4,"Governance, Law and Management"
Intellectual Property Rights,4,"Governance, Law and Management"
Dairy Production,4,Others
Marine Biology,4,Natural Sciences
Administrative Law,4,"Governance, Law and Management"
Electronics Engineering,3,"Engineering, Technology and Mathematics"
Optoelectronics,3,"Engineering, Technology and Mathematics"
Human Rights,3,"Governance, Law and Management"
USA,3,Others
Political Studies,3,Social Science and Liberal Arts
Dairy Science,3,Others
Tamil,3,Languages and Fine Arts
Homeopathy,3,Others
Orthopaedics,3,Medical
Env. Sci.,3,Natural Sciences
Civil Laws,3,"Governance, Law and Management"
Environmental Laws,3,"Governance, Law and Management"
Population&devlp,3,"Governance, Law and Management"
Foundation Engg,3,"Engineering, Technology and Mathematics"
Textile Technology,3,"Engineering, Technology and Mathematics"
Intnl Policy&studies,3,"Governance, Law and Management"
Paper Technolog,3,"Engineering, Technology and Mathematics"
Navigation,3,Others
Micro �o Eco,3,Social Science and Liberal Arts
Microelectronics and VLSI,3,"Engineering, Technology and Mathematics"
Criminal Laws,3,"Governance, Law and Management"
International Political Economy,3,Social Science and Liberal Arts
Constitl. Law,3,"Governance, Law and Management"
Anatomy,3,Natural Sciences
Advance Accountancy,3,Finance
Rural Mgt,3,"Governance, Law and Management"
Obstetrics and Gynaecology,3,Medical
Energy & Environmental Policy,3,"Governance, Law and Management"
Law & Governance,3,"Governance, Law and Management"
Plant Botany,3,Natural Sciences
Business Econ,3,Social Science and Liberal Arts
Agri. Entomology,3,Natural Sciences
Transportation,3,Others
Gandhian Studies,3,Social Science and Liberal Arts
Admn.Sc.&Dev Problem,3,"Governance, Law and Management"
Administrative Science,3,"Governance, Law and Management"
Italian,3,Languages and Fine Arts
Nautical Science,3,Others
Linguistics,3,Languages and Fine Arts
Export,3,"Governance, Law and Management"
National Dev,3,"Governance, Law and Management"
Gujarati,3,Languages and Fine Arts
Globalization and Urban Dev,3,"Governance, Law and Management"
Project Mgt,3,"Governance, Law and Management"
Fishery Science,3,Others
Urban Studies,3,"Governance, Law and Management"
Social Policy,3,"Governance, Law and Management"
Labour,3,"Governance, Law and Management"
Plant Breeding,3,Others
Spanish,3,Languages and Fine Arts
Yoga,3,Others
Auditing,3,Finance
Procurement,2,Finance
Thermal Sc.,2,Natural Sciences
Indl.dev.,2,"Governance, Law and Management"
Anatomy Physiology Biochemistry,2,Natural Sciences
Radar Engg,2,"Engineering, Technology and Mathematics"
Health Policy,2,"Governance, Law and Management"
Quality Management,2,"Governance, Law and Management"
Hydrology,2,Others
Divinity,2,Others
Managerial Eco,2,Social Science and Liberal Arts
Mineral Exploration,2,Others
Policy Analysis,2,"Governance, Law and Management"
Rural Social Dev,2,"Governance, Law and Management"
Digital Commn Engg,2,"Engineering, Technology and Mathematics"
Equity Capital Mkts,2,Finance
West Asian Studies,2,Social Science and Liberal Arts
Pure Maths,2,"Engineering, Technology and Mathematics"
public affairs,2,"Governance, Law and Management"
Euro.history,2,Social Science and Liberal Arts
Geophysics,2,Natural Sciences
Arabic,2,Languages and Fine Arts
Nutrition,2,Others
Paediatrics,2,Medical
Cyber Law,2,"Governance, Law and Management"
Cytogenetics,2,Natural Sciences
Livestock Production,2,Others
Material Sc,2,"Engineering, Technology and Mathematics"
Administrative Mgmt,2,"Governance, Law and Management"
Accountancy.Chd,2,Finance
Opthalmology,2,Medical
Ancient Ind.history,2,Social Science and Liberal Arts
Income Tax,2,"Governance, Law and Management"
Napalese,2,Languages and Fine Arts
Wildlife Mgt,2,Others
Physical Engg,2,"Engineering, Technology and Mathematics"
Corporate Laws,2,"Governance, Law and Management"
Hotal Management,2,"Governance, Law and Management"
Applied Physics,2,Natural Sciences
Internal Medicine,2,Medical
Plant Physioloy,2,Natural Sciences
Advertising,2,Others
Parasitology,2,Others
Information Sc,2,"Engineering, Technology and Mathematics"
Trade,2,"Governance, Law and Management"
Rural Economics,2,Social Science and Liberal Arts
Accoustics,2,Others
C.A.,2,Finance
Commercial Law,2,"Governance, Law and Management"
Fin. Mgmt,2,"Governance, Law and Management"
Archaeology,2,Social Science and Liberal Arts
Bacteriology,2,Natural Sciences
Fluid Mechanics,2,Natural Sciences
Petrology,2,Natural Sciences
Assamese,2,Languages and Fine Arts
Marine.engg.,2,"Engineering, Technology and Mathematics"
Executive Devlopment,2,"Governance, Law and Management"
Social Studies,2,Social Science and Liberal Arts
Naval Architre,2,"Engineering, Technology and Mathematics"
Costing,2,Finance
Public Sc.& Managt,2,"Governance, Law and Management"
Hons Zoology,2,Natural Sciences
Security Relatn,2,"Governance, Law and Management"
Development Mgmt,2,"Governance, Law and Management"
Public Eco.,2,Social Science and Liberal Arts
Forensic Sc.,2,Others
Hydraulics,2,Natural Sciences
Pharmacology,2,Others
Principle of Laws,2,"Governance, Law and Management"
Project Planning,2,"Governance, Law and Management"
Construction Mgt,2,"Governance, Law and Management"
Fine Arts,2,Languages and Fine Arts
Poverty Alleviation,2,"Governance, Law and Management"
Housing and Environment,2,Others
Intrntl Finance,2,Finance
Power Electronics,2,"Engineering, Technology and Mathematics"
Indl.psychology,1,Social Science and Liberal Arts
Intnl Marketing,1,"Governance, Law and Management"
Radiology,1,Medical
Cost and Work Mgmt.,1,"Governance, Law and Management"
Histology,1,Social Science and Liberal Arts
Ceramic Tech,1,"Engineering, Technology and Mathematics"
Programing,1,"Engineering, Technology and Mathematics"
Legal History,1,Social Science and Liberal Arts
Bio-Physics,1,Natural Sciences
Design Engineering,1,"Engineering, Technology and Mathematics"
Engg Mining.Engg.,1,"Engineering, Technology and Mathematics"
Manpower Plg,1,Others
Hons Psychology,1,Social Science and Liberal Arts
Fiscal Studies,1,Others
Hons Computers,1,"Engineering, Technology and Mathematics"
Applied Mech,1,"Engineering, Technology and Mathematics"
Design of Mech Equipments,1,"Engineering, Technology and Mathematics"
Women Studies,1,Social Science and Liberal Arts
Education Plg.,1,Others
Hindi English Math Physics Chemistry,1,Others
Hons Statistics,1,"Engineering, Technology and Mathematics"
Hindi English Math NaturalScience SSc Sanskrit Eco,1,Others
Electronic.dp,1,"Engineering, Technology and Mathematics"
Banking Law,1,"Governance, Law and Management"
INTNL RELATIONS,1,Social Science and Liberal Arts
Mathematical Sciences,1,"Engineering, Technology and Mathematics"
Taxation Laws,1,"Governance, Law and Management"
Auto.Engg.,1,"Engineering, Technology and Mathematics"
Christian Ministry,1,Others
Hons Civil Engg,1,"Engineering, Technology and Mathematics"
Direct Tax Laws,1,"Governance, Law and Management"
Hons Electrical Engg.,1,"Engineering, Technology and Mathematics"
Management Accounting,1,"Governance, Law and Management"
Environmental Engineering,1,"Engineering, Technology and Mathematics"
Office Mgt.,1,"Governance, Law and Management"
Physiotherapy,1,Others
Economic Hons. with Psychology,1,Social Science and Liberal Arts
Indian Industry,1,Others
Legislative Drafting,1,"Governance, Law and Management"
Corporate Mgmt,1,"Governance, Law and Management"
Aeronautical Engineering,1,"Engineering, Technology and Mathematics"
Harvard,1,Others
Hons Geography,1,Others
Aero Engg,1,"Engineering, Technology and Mathematics"
International Business,1,"Governance, Law and Management"
Venereology,1,Medical
Water Management,1,"Governance, Law and Management"
Music,1,Languages and Fine Arts
Hindi English,1,Languages and Fine Arts
Eco.History,1,Social Science and Liberal Arts
USA Statistics,1,"Engineering, Technology and Mathematics"
Analytical Chem,1,Natural Sciences
Telecomm Engg,1,"Engineering, Technology and Mathematics"
Hons Mathematics,1,"Engineering, Technology and Mathematics"
Financial Markets,1,Finance
Animal Breeding,1,Medical
Radio Pathology,1,Medical
Bengali,1,Languages and Fine Arts
Portuguese,1,Languages and Fine Arts
Social Security,1,Others
Community Planning,1,"Governance, Law and Management"
Labour Orgn.,1,Others
Web Pages Designing,1,"Engineering, Technology and Mathematics"
Prodn.Control,1,"Engineering, Technology and Mathematics"
Non.Linear Mech,1,"Engineering, Technology and Mathematics"
Empowerment,1,Others
Chartered Fincl Analyst,1,Finance
Federalism,1,Social Science and Liberal Arts
Tibetan,1,Languages and Fine Arts
Business.Orgn,1,"Governance, Law and Management"
Applied Maths,1,"Engineering, Technology and Mathematics"
Systems Science & Automation,1,"Engineering, Technology and Mathematics"
Computer Networks,1,"Engineering, Technology and Mathematics"
Pali,1,Languages and Fine Arts
Indl. Finance,1,Finance
Port Plg & Managemt,1,"Governance, Law and Management"
Indl.orgn.,1,"Governance, Law and Management"
Family Planning,1,"Governance, Law and Management"
Census,1,"Governance, Law and Management"
Eng. Mech.,1,"Engineering, Technology and Mathematics"
Strategic Export Mkt,1,"Governance, Law and Management"
Aplied Geologcl,1,"Engineering, Technology and Mathematics"
Sectt.Practices,1,"Governance, Law and Management"
Managerial Economics,1,Social Science and Liberal Arts
Utility Regulation,1,"Governance, Law and Management"
Land Laws,1,"Governance, Law and Management"
Eco Planning,1,Social Science and Liberal Arts
Town Planning,1,"Governance, Law and Management"
National Security,1,"Governance, Law and Management"
Applied Optics,1,"Engineering, Technology and Mathematics"
Anaesthology,1,Medical
Chinese Studies,1,Languages and Fine Arts
Disaster Management,1,"Governance, Law and Management"
Intrnl Dev,1,Social Science and Liberal Arts
Astronomy,1,"Engineering, Technology and Mathematics"
Eco Policy & Mgt,1,"Governance, Law and Management"
Political Systems,1,"Governance, Law and Management"
Gender Analysis,1,Social Science and Liberal Arts
Physilogy(orgl Behaviour),1,Others
Export Mgt,1,"Governance, Law and Management"
Patents Law,1,"Governance, Law and Management"
Police Admn,1,"Governance, Law and Management"
Small Scale Sector,1,"Governance, Law and Management"
Sahitya Visharad,1,Languages and Fine Arts
Organisational Behaviour,1,"Governance, Law and Management"
Trng & Developmemt,1,"Governance, Law and Management"
South Asian Security Issues,1,Others
Fibre Sc.&tech.,1,"Engineering, Technology and Mathematics"
Public Enterpr,1,"Governance, Law and Management"
Preventive and Social Medicine,1,Medical
Obstetrics,1,Medical
Animal Sciences,1,Medical
Politics (Int. Studies),1,Social Science and Liberal Arts
Clinical Pathgy,1,Medical
Refrigeration,1,"Engineering, Technology and Mathematics"
Gynaecology,1,Medical
From Green REvolution to Liberalissation Grown of,1,Others
Natural Resource,1,Others
Clic Psychology,1,Medical
Metropolitan Planning,1,"Governance, Law and Management"
Contract and Taxation Law,1,"Governance, Law and Management"
Social Services,1,Social Science and Liberal Arts
Air Navigation Sys.,1,"Engineering, Technology and Mathematics"
American Civiln,1,Social Science and Liberal Arts
Epidemiology,1,Medical
Media Regulation,1,"Governance, Law and Management"
Plasti Techlogy,1,"Engineering, Technology and Mathematics"
Silviculture,1,Others
Integ Rural Engy Tech.,1,"Engineering, Technology and Mathematics"
Constitutional and Administrative Laws,1,"Governance, Law and Management"
Electrical Machines&desig,1,"Engineering, Technology and Mathematics"
Western History,1,Social Science and Liberal Arts
Prodn Mgnt,1,"Governance, Law and Management"
Microlevel Planning,1,"Governance, Law and Management"
Chem.Physics,1,Natural Sciences
Foreign Affairs,1,"Governance, Law and Management"
Eneral Studies,1,Others
Others,1,Others
Techno Eco Analysis,1,Social Science and Liberal Arts
Sino-burmese Rl,1,Others
Pers0nnel Admn,1,"Governance, Law and Management"
West European St,1,Social Science and Liberal Arts
Inorg.chemistry,1,Natural Sciences
Materials Mgmt,1,"Governance, Law and Management"
Agri Credit&coop Banking,1,"Governance, Law and Management"
Ichthyology,1,Natural Sciences
Home Science,1,Others
Integrated Electronics,1,"Engineering, Technology and Mathematics"
Labour Legisln,1,"Governance, Law and Management"
Petroleum Eco.,1,Social Science and Liberal Arts
Hons Chemistry,1,Natural Sciences
N.A.,374,N.A.
Applied Demography,2,Social Science and Liberal Arts
Sanitary Engg.,1,"Engineering, Technology and Mathematics"
Radio Engg.,1,"Engineering, Technology and Mathematics"
Agri Chemistry,1,Natural Sciences
Radio Physics,1,Natural Sciences
Air Pollution Modelling,1,"Engineering, Technology and Mathematics"
Nl.Dev&Proj.Plg.,1,"Governance, Law and Management"
Development Finance,1,"Governance, Law and Management"
Air&space Law,1,"Governance, Law and Management"
Cartograpyy,1,Social Science and Liberal Arts
Soviet Studies,1,Social Science and Liberal Arts
Radiometrology,1,"Engineering, Technology and Mathematics"
Rural Sociology,1,Social Science and Liberal Arts
Literature,1,Languages and Fine Arts
Oil Technology,1,"Engineering, Technology and Mathematics"
Policy & Admn,1,"Governance, Law and Management"
Mountaineering,1,Others
